# meta:run_trajectory=hover
# meta:usd_source=gl_01
# meta:usd_n_samples=4744
# meta:usd_rate_hz=101.0
time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpm_m1,rpm_m2,rpm_m3
0.0,0.0,0.0,19.242469787597656,0.0,0.0,-0.4302978515625,-0.013949800282716751,0.042094968259334564,0.002648829948157072,0.0,3.8744869232177734,0.27928927540779114,0.06370759010314941,-0.1341940015554428,0.007055177353322506,0.004302863962948322,0.990694522857666,0.0,0.0,0.0
0.009901,0.0,0.0,19.2424259185791,0.0,0.0,-0.00438690185546875,-0.010148849338293076,0.04325919225811958,0.0018907407065853477,0.0,3.8744869232177734,0.23350395262241364,0.039079949259757996,-0.23175328969955444,0.00817853957414627,0.005729421507567167,0.9885797500610352,0.0,0.0,0.0
0.019794,0.0,0.0,19.242385864257812,0.0,0.0,-0.00400543212890625,-0.006882775109261274,0.04347376525402069,0.001686906791292131,0.0,3.8639297485351562,0.31982943415641785,-0.0030747989658266306,-0.03444769233465195,0.00958195049315691,0.00480044586583972,0.9891188740730286,0.0,0.0,0.0
0.029707,0.0,0.0,19.24344253540039,0.0,0.0,0.1056671142578125,-0.003405318595468998,0.04506542161107063,0.002814462874084711,0.0,3.8639297485351562,0.029604824259877205,0.0549236424267292,0.09098586440086365,0.006602095440030098,0.005271837580949068,0.9886415600776672,0.0,0.0,0.0
0.039593,0.0,0.0,19.244394302368164,0.0,0.0,0.09517669677734375,-0.002141089178621769,0.046200208365917206,0.003091013291850686,0.0,3.8639297485351562,0.20257215201854706,0.07396164536476135,-0.30209243297576904,0.007151306606829166,0.0063877771608531475,0.9913713335990906,0.0,0.0,0.0
0.0495,0.0,0.0,19.24634552001953,0.0,0.0,0.19512176513671875,0.0017922953702509403,0.04986649006605148,0.0023808057885617018,0.0,3.8639297485351562,0.2310032695531845,-0.1746789813041687,-0.028037499636411667,0.009640510194003582,0.0061430782079696655,0.9925115704536438,0.0,0.0,0.0
0.059393,0.0,0.0,19.24810028076172,0.0,0.0,0.17547607421875,0.004266453441232443,0.051744259893894196,0.003427737159654498,0.0,3.869208335876465,-0.06625690311193466,-0.020517894998192787,0.05208997055888176,0.009681162424385548,0.008577035740017891,0.9923115372657776,0.0,0.0,0.0
0.069306,0.0,0.0,19.252960205078125,0.0,0.0,0.485992431640625,0.007793044205754995,0.054604966193437576,0.002428000792860985,0.0,3.8744869232177734,0.17173640429973602,-0.284986287355423,-0.14405882358551025,0.009046385064721107,0.006415220443159342,0.9904030561447144,0.0,0.0,0.0
0.079192,0.0,0.0,19.257335662841797,0.0,0.0,0.4375457763671875,0.009027168154716492,0.05690236762166023,0.002734598470851779,0.0,3.869208335876465,-0.049672383815050125,-0.25946566462516785,0.12327663600444794,0.00952715240418911,0.002595963655039668,0.995735228061676,0.0,0.0,0.0
0.089099,0.0,0.0,19.25580406188965,0.0,0.0,-0.15316009521484375,0.01149579044431448,0.061083707958459854,0.003923793788999319,0.0,3.869208335876465,0.24971358478069305,0.050036314874887466,-0.038119494915008545,0.008699233643710613,0.005055299960076809,0.9988763928413391,0.0,0.0,0.0
