# meta:run_trajectory=hover
# meta:run_mode=0
# meta:run_kt=0.008
# meta:run_speed=1.0
# meta:run_reps=1
# meta:run_lap_time_s=15.0000
# meta:run_eval_mode=hlc_e
# meta:indi_kr=600.0
# meta:indi_kw=66.0
# meta:indi_kr_z=600.0
# meta:indi_kw_z=66.0
# meta:indi_fc_bw=80.0
# meta:yaml_stabilizer_controller=6
# meta:yaml_ctrl_mode=2
# meta:takeoff_stabilizer_controller=2
# meta:takeoff_ctrl_mode=0
# meta:trajectory_stabilizer_controller=6
# meta:trajectory_ctrl_mode=2
# meta:landing_stabilizer_controller=2
# meta:landing_ctrl_mode=0
time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpm_m1,rpm_m2,rpm_m3,rpm_m4,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,alp_raw_x,alp_raw_y,alp_raw_z
0.002,0.016434021294116974,0.16311967372894287,0.03901292383670807,0.022857973352074623,0.006246604491025209,0.0006143422797322273,0.14356569945812225,0.40715739130973816,0.1767626255750656,0.0,4.117301940917969,-0.2679615020751953,-0.13493096828460693,-0.10925605893135071,0.016251787543296814,0.003873453475534916,0.9988906383514404,0.0,0.0,0.0,0.0,194.11746215820312,-17.773569107055664,-12.266166687011719,-0.6946743130683899,-1.6544530391693115,-0.7314736843109131,-1.313791275024414,-1.4790042638778687,-0.9218348860740662
0.0309,0.01643584482371807,0.16311973333358765,0.03901252523064613,0.02298213355243206,0.0063056545332074165,0.0006670609000138938,0.14356569945812225,0.40715739130973816,0.1767626255750656,0.0,4.117301940917969,-0.2679615020751953,-0.13493096828460693,-0.10925605893135071,0.016251787543296814,0.003873453475534916,0.9988906383514404,0.0,0.0,0.0,0.0,194.11746215820312,-17.773569107055664,-12.266166687011719,-0.6946743130683899,-1.6544530391693115,-0.7314736843109131,-1.313791275024414,-1.4790042638778687,-0.9218348860740662
0.042,0.016437498852610588,0.16311869025230408,0.03901325538754463,0.02301071584224701,0.006030393298715353,0.0007983923424035311,0.14201754331588745,0.4027884304523468,0.17560692131519318,0.0,4.117301940917969,0.1537385731935501,0.04573988914489746,-0.14011593163013458,0.012260934337973595,-9.243093700206373e-06,1.001366138458252,0.0,0.0,0.0,0.0,194.11746215820312,-17.773569107055664,-12.266166687011719,-0.6946743130683899,-1.6544530391693115,-0.7314736843109131,-1.313791275024414,-1.4790042638778687,-0.9218348860740662
0.048,0.0164308100938797,0.16311447322368622,0.03901461884379387,0.02148263156414032,0.005558534990996122,0.0008704640786163509,0.14201754331588745,0.4027884304523468,0.17560692131519318,0.0,4.117301940917969,0.1537385731935501,0.04573988914489746,-0.14011593163013458,0.012260934337973595,-9.243093700206373e-06,1.001366138458252,0.0,0.0,0.0,0.0,194.11746215820312,-17.773569107055664,-12.266166687011719,-0.6946743130683899,-1.6544530391693115,-0.7314736843109131,-1.313791275024414,-1.4790042638778687,-0.9218348860740662
0.0529,0.01641242578625679,0.163107767701149,0.03901652619242668,0.019967248663306236,0.005092643201351166,0.0010508750565350056,0.14201754331588745,0.4027884304523468,0.17560692131519318,0.0,4.117301940917969,0.1537385731935501,0.04573988914489746,-0.14011593163013458,0.012260934337973595,-9.243093700206373e-06,1.001366138458252,1183.0,868.0,2538.0,794.0,194.11746215820312,-17.773569107055664,-12.266166687011719,-0.6946743130683899,-1.6544530391693115,-0.7314736843109131,-1.313791275024414,-1.4790042638778687,-0.9218348860740662
0.0569,0.01638871245086193,0.1630999892950058,0.039018455892801285,0.018488110974431038,0.004639564547687769,0.0010769856162369251,0.14201754331588745,0.4027884304523468,0.17560692131519318,0.0,4.117301940917969,0.1537385731935501,0.04573988914489746,-0.14011593163013458,0.012260934337973595,-9.243093700206373e-06,1.001366138458252,1183.0,868.0,2538.0,794.0,194.11746215820312,-17.773569107055664,-12.266166687011719,-0.6946743130683899,-1.6544530391693115,-0.7314736843109131,-1.313791275024414,-1.4790042638778687,-0.9218348860740662
0.062,0.016362862661480904,0.16309185326099396,0.03901899605989456,0.017053397372364998,0.004206127021461725,0.0009770914912223816,0.14201754331588745,0.4027884304523468,0.17560692131519318,0.0,4.117301940917969,0.1537385731935501,0.04573988914489746,-0.14011593163013458,0.012260934337973595,-9.243093700206373e-06,1.001366138458252,1183.0,868.0,2538.0,794.0,194.11746215820312,-17.773569107055664,-12.266166687011719,-0.6946743130683899,-1.6544530391693115,-0.7314736843109131,-1.313791275024414,-1.4790042638778687,-0.9218348860740662
0.073,0.016336526721715927,0.16308368742465973,0.03901801258325577,0.015681728720664978,0.003780883038416505,0.0008299204637296498,0.14483991265296936,0.3970395028591156,0.16585905849933624,37754.6328125,3.631671667098999,1.1805624961853027,-0.2525333762168884,-3.007777452468872,0.031397707760334015,0.026917217299342155,1.0095747709274292,1183.0,868.0,2538.0,794.0,194.11746215820312,-17.773569107055664,-12.266166687011719,-0.6946743130683899,-1.6544530391693115,-0.7314736843109131,-1.313791275024414,-1.4790042638778687,-0.9218348860740662
0.0821,0.01631050929427147,0.16307564079761505,0.03901683911681175,0.01435680128633976,0.003372936975210905,0.0008344080997630954,0.14483991265296936,0.3970395028591156,0.16585905849933624,37754.6328125,3.631671667098999,1.1805624961853027,-0.2525333762168884,-3.007777452468872,0.031397707760334015,0.026917217299342155,1.0095747709274292,1183.0,868.0,2538.0,794.0,194.11746215820312,-17.773569107055664,-12.266166687011719,-0.6946743130683899,-1.6544530391693115,-0.7314736843109131,-1.313791275024414,-1.4790042638778687,-0.9218348860740662
0.0919,0.01628509908914566,0.1630677878856659,0.03901736065745354,0.013077417388558388,0.0029762086924165487,0.0010454494040459394,0.14483991265296936,0.3970395028591156,0.16585905849933624,37754.6328125,3.631671667098999,1.1805624961853027,-0.2525333762168884,-3.007777452468872,0.031397707760334015,0.026917217299342155,1.0095747709274292,10205.0,10948.0,10405.0,9358.0,194.11746215820312,-17.773569107055664,-12.266166687011719,-0.6946743130683899,-1.6544530391693115,-0.7314736843109131,-1.313791275024414,-1.4790042638778687,-0.9218348860740662
