scenario,controller,n_robots,vehicle_id,t_start,t_end,n_samples,n_raw,rate_hz_est,nan_fraction,pos_rmse_m,pos_rmse_x,pos_rmse_y,pos_rmse_z,pos_peak_m,pos_peak_z,dz_cmd_m,dz_mean_m,dz_err_mean_m,dz_err_rms_m,a_res_rms,a_res_z_mean,a_res_z_rms,a_hat_res_rms,a_hat_vs_a_res_rmse,e_R_rmse,e_R_peak,notes,effort_proxy,fs_hz,gyro_band_frac,gyro_x_band_pow,gyro_x_dom_hz,gyro_y_band_pow,gyro_y_dom_hz,gyro_z_band_pow,gyro_z_dom_hz,motor_mean_ratio,motor_rms_ratio,motor_sat_frac,motor_spread_mean,spectrum_ok,tau_peak,tau_rms
A7,geometric,2,cf5,0.0,12.794,6398,6398,500.0,0.0,0.11387219054053059,0.028761004171656095,0.03510654446883373,0.1044375935810218,0.2019727237524909,0.17424699999999999,,,,,1.747662148049635,-1.5396640164113786,1.7073667528353103,0.0,1.747662148049635,0.3179889698053772,0.7154118803381727,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
A7,geometric,2,cf_second,0.0,12.794,6398,6398,500.0,0.0,0.07031882097602621,0.01495182500250707,0.012999217598621278,0.06746999225119656,0.09821404914267612,0.096133,,,,,0.0,0.0,0.0,0.0,0.0,0.02431978817753148,0.02431978817753148,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
A7,geometric,2,__formation__,,,,,,,,,,,,,nan,nan,nan,nan,,,,,,,,not stacked / dz_cmd not given / fewer than 2 vehicles with data,,,,,,,,,,,,,,,,
