t,ref_x,ref_y,ref_z,sim_x,sim_y,sim_z,ref_vx,ref_vy,ref_vz,sim_vx,sim_vy,sim_vz,ref_thrust,ref_tx,ref_ty,ref_tz,ref_yaw,ref_ox,ref_oy,ref_oz,cmd_thrust,cmd_tx,cmd_ty,cmd_tz
0.100000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199869,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001472,0.265066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265066,0.000000,0.000000,0.000000
0.105000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199862,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001436,0.265077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265077,0.000000,0.000000,0.000000
0.110000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199855,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001397,0.265086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265086,0.000000,0.000000,0.000000
0.115000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199848,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001357,0.265093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265093,0.000000,0.000000,0.000000
0.120000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199841,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001316,0.265099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265099,0.000000,0.000000,0.000000
0.125000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199835,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001274,0.265103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265103,0.000000,0.000000,0.000000
0.130000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199828,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001231,0.265106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265106,0.000000,0.000000,0.000000
0.135000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199822,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001187,0.265107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265107,0.000000,0.000000,0.000000
0.140000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199817,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001143,0.265108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265108,0.000000,0.000000,0.000000
0.145000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199811,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001099,0.265108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265108,0.000000,0.000000,0.000000
0.150000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199806,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001055,0.265108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265108,0.000000,0.000000,0.000000
0.155000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199800,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001011,0.265107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265107,0.000000,0.000000,0.000000
0.160000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199795,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000967,0.265105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265105,0.000000,0.000000,0.000000
0.165000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199791,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000923,0.265103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265103,0.000000,0.000000,0.000000
0.170000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199786,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000880,0.265101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265101,0.000000,0.000000,0.000000
0.175000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199782,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000837,0.265099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265099,0.000000,0.000000,0.000000
0.180000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199778,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000795,0.265096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265096,0.000000,0.000000,0.000000
0.185000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199774,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000753,0.265093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265093,0.000000,0.000000,0.000000
0.190000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199770,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000712,0.265090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265090,0.000000,0.000000,0.000000
0.195000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199767,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000671,0.265087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265087,0.000000,0.000000,0.000000
0.200000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199764,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000631,0.265084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265084,0.000000,0.000000,0.000000
0.205000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199761,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000591,0.265081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265081,0.000000,0.000000,0.000000
0.210000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199758,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000552,0.265078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265078,0.000000,0.000000,0.000000
0.215000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199755,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000514,0.265074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265074,0.000000,0.000000,0.000000
0.220000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199753,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000476,0.265071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265071,0.000000,0.000000,0.000000
0.225000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199750,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000439,0.265067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265067,0.000000,0.000000,0.000000
0.230000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199748,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000402,0.265064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265064,0.000000,0.000000,0.000000
0.235000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199746,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000366,0.265061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265061,0.000000,0.000000,0.000000
0.240000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199745,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000331,0.265057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265057,0.000000,0.000000,0.000000
0.245000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199743,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000296,0.265053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265053,0.000000,0.000000,0.000000
