time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,thrust,tx,ty,tz,omega1,omega2,omega3,omega4,pos_error_x,pos_error_y,pos_error_z,vel_error_x,vel_error_y,vel_error_z
0.140000,0.299964,0.026389,0.300008,-0.000642,0.188497,0.000132,0.706747,-0.000042,-0.000042,0.707466,-0.112230,0.001092,0.939768,0.298840,0.026355,0.300000,-0.016560,0.187767,0.000000,0.264904,-0.000006,0.000001,0.000072,26682.148438,26289.410156,26656.343750,26333.660156,0.001124,0.000034,0.000008,0.015917,0.000730,0.000132
0.150000,0.299957,0.028274,0.300010,-0.000709,0.188497,0.000144,0.706714,-0.000047,-0.000046,0.707500,-0.115588,0.001209,0.964438,0.298669,0.028232,0.300000,-0.017739,0.187659,0.000000,0.264905,-0.000006,0.000002,0.000071,26682.066406,26289.269531,26656.363281,26334.410156,0.001288,0.000042,0.000010,0.017030,0.000838,0.000144
0.160000,0.299950,0.030159,0.300011,-0.000780,0.188498,0.000157,0.706679,-0.000051,-0.000050,0.707534,-0.118986,0.001330,0.989084,0.298485,0.030109,0.300000,-0.018918,0.187544,0.000000,0.264907,-0.000006,0.000002,0.000071,26681.966797,26289.146484,26656.380859,26335.193359,0.001464,0.000051,0.000011,0.018138,0.000954,0.000157
0.170000,0.299942,0.032044,0.300013,-0.000852,0.188498,0.000171,0.706644,-0.000055,-0.000054,0.707570,-0.122422,0.001455,1.013705,0.298290,0.031983,0.300000,-0.020096,0.187421,0.000000,0.264908,-0.000006,0.000002,0.000071,26681.853516,26289.017578,26656.404297,26335.982422,0.001651,0.000061,0.000013,0.019243,0.001077,0.000171
0.180000,0.299933,0.033929,0.300015,-0.000928,0.188499,0.000185,0.706607,-0.000059,-0.000059,0.707606,-0.125897,0.001585,1.038301,0.298083,0.033857,0.300000,-0.021273,0.187291,0.000000,0.264910,-0.000006,0.000002,0.000071,26681.724609,26288.896484,26656.435547,26336.787109,0.001849,0.000072,0.000015,0.020345,0.001207,0.000185
0.190000,0.299923,0.035814,0.300017,-0.001007,0.188499,0.000199,0.706570,-0.000064,-0.000063,0.707643,-0.129410,0.001719,1.062869,0.297865,0.035729,0.300000,-0.022449,0.187154,0.000000,0.264911,-0.000006,0.000002,0.000071,26681.597656,26288.777344,26656.484375,26337.601562,0.002058,0.000085,0.000017,0.021442,0.001345,0.000199
0.200000,0.299913,0.037699,0.300019,-0.001089,0.188500,0.000215,0.706532,-0.000069,-0.000068,0.707681,-0.132960,0.001858,1.087410,0.297634,0.037600,0.300000,-0.023625,0.187009,0.000000,0.264913,-0.000006,0.000002,0.000071,26681.441406,26288.675781,26656.535156,26338.449219,0.002278,0.000099,0.000019,0.022536,0.001491,0.000215
0.210000,0.299902,0.039584,0.300021,-0.001173,0.188501,0.000230,0.706493,-0.000074,-0.000072,0.707720,-0.136547,0.002001,1.111922,0.297392,0.039469,0.300000,-0.024799,0.186857,0.000000,0.264914,-0.000006,0.000002,0.000071,26681.283203,26288.576172,26656.591797,26339.306641,0.002509,0.000115,0.000021,0.023626,0.001644,0.000230
0.220000,0.299890,0.041469,0.300023,-0.001261,0.188501,0.000247,0.706453,-0.000079,-0.000077,0.707760,-0.140171,0.002149,1.136405,0.297138,0.041337,0.300000,-0.025973,0.186698,0.000000,0.264916,-0.000006,0.000002,0.000071,26681.111328,26288.478516,26656.666016,26340.173828,0.002751,0.000132,0.000023,0.024712,0.001804,0.000247
0.230000,0.299877,0.043354,0.300026,-0.001352,0.188502,0.000264,0.706413,-0.000084,-0.000082,0.707800,-0.143832,0.002301,1.160857,0.296873,0.043203,0.300000,-0.027145,0.186531,0.000000,0.264918,-0.000006,0.000002,0.000071,26680.917969,26288.390625,26656.734375,26341.066406,0.003004,0.000151,0.000026,0.025793,0.001972,0.000264
0.240000,0.299863,0.045239,0.300029,-0.001446,0.188503,0.000281,0.706371,-0.000089,-0.000087,0.707842,-0.147528,0.002458,1.185278,0.296596,0.045068,0.300000,-0.028317,0.186356,0.000000,0.264920,-0.000006,0.000002,0.000071,26680.716797,26288.306641,26656.814453,26341.974609,0.003267,0.000172,0.000029,0.026870,0.002147,0.000281
0.250000,0.299848,0.047124,0.300031,-0.001544,0.188504,0.000300,0.706329,-0.000094,-0.000092,0.707884,-0.151260,0.002618,1.209666,0.296307,0.046930,0.300000,-0.029487,0.186175,0.000000,0.264921,-0.000006,0.000003,0.000071,26680.507812,26288.226562,26656.914062,26342.890625,0.003541,0.000194,0.000031,0.027943,0.002329,0.000300
0.260000,0.299832,0.049009,0.300035,-0.001645,0.188505,0.000319,0.706286,-0.000100,-0.000098,0.707927,-0.155026,0.002784,1.234021,0.296006,0.048791,0.300000,-0.030656,0.185986,0.000000,0.264923,-0.000006,0.000003,0.000071,26680.275391,26288.158203,26657.005859,26343.833984,0.003826,0.000218,0.000035,0.029012,0.002519,0.000319
0.270000,0.299815,0.050894,0.300038,-0.001749,0.188506,0.000338,0.706241,-0.000105,-0.000103,0.707971,-0.158828,0.002953,1.258342,0.295693,0.050650,0.300000,-0.031824,0.185790,0.000000,0.264925,-0.000006,0.000003,0.000070,26680.039062,26288.093750,26657.117188,26344.789062,0.004122,0.000244,0.000038,0.030076,0.002717,0.000338
0.280000,0.299797,0.052780,0.300041,-0.001856,0.188508,0.000359,0.706197,-0.000111,-0.000109,0.708016,-0.162664,0.003127,1.282627,0.295369,0.052507,0.300000,-0.032991,0.185586,0.000000,0.264927,-0.000007,0.000003,0.000070,26679.781250,26288.039062,26657.226562,26345.765625,0.004428,0.000273,0.000041,0.031135,0.002922,0.000359
0.290000,0.299778,0.054665,0.300045,-0.001967,0.188509,0.000380,0.706151,-0.000117,-0.000114,0.708062,-0.166533,0.003305,1.306875,0.295034,0.054362,0.300000,-0.034156,0.185375,0.000000,0.264929,-0.000007,0.000003,0.000070,26679.517578,26287.982422,26657.353516,26346.755859,0.004745,0.000303,0.000045,0.032189,0.003134,0.000380
0.300000,0.299758,0.056550,0.300049,-0.002082,0.188510,0.000401,0.706104,-0.000123,-0.000120,0.708108,-0.170437,0.003488,1.331087,0.294686,0.056214,0.300000,-0.035321,0.185157,0.000000,0.264931,-0.000007,0.000003,0.000070,26679.244141,26287.927734,26657.498047,26347.751953,0.005072,0.000335,0.000049,0.033239,0.003354,0.000401
0.310000,0.299737,0.058435,0.300053,-0.002200,0.188512,0.000424,0.706056,-0.000129,-0.000126,0.708156,-0.174372,0.003675,1.355261,0.294327,0.058065,0.300000,-0.036483,0.184931,0.000000,0.264933,-0.000007,0.000003,0.000070,26678.943359,26287.896484,26657.626953,26348.783203,0.005410,0.000370,0.000053,0.034284,0.003581,0.000424
0.320000,0.299715,0.060320,0.300057,-0.002321,0.188513,0.000447,0.706008,-0.000136,-0.000132,0.708204,-0.178341,0.003865,1.379395,0.293957,0.059913,0.300000,-0.037644,0.184698,0.000000,0.264935,-0.000007,0.000003,0.000070,26678.636719,26287.847656,26657.781250,26349.804688,0.005758,0.000407,0.000057,0.035323,0.003815,0.000447
0.330000,0.299691,0.062205,0.300062,-0.002447,0.188515,0.000471,0.705959,-0.000142,-0.000139,0.708253,-0.182341,0.004060,1.403491,0.293574,0.061759,0.300000,-0.038804,0.184458,0.000000,0.264937,-0.000007,0.000003,0.000070,26678.316406,26287.824219,26657.941406,26350.871094,0.006117,0.000446,0.000062,0.036357,0.004057,0.000471
0.340000,0.299666,0.064090,0.300067,-0.002576,0.188517,0.000496,0.705909,-0.000149,-0.000145,0.708303,-0.186373,0.004259,1.427545,0.293180,0.063602,0.300000,-0.039962,0.184211,0.000000,0.264940,-0.000007,0.000004,0.000070,26677.976562,26287.796875,26658.101562,26351.937500,0.006485,0.000488,0.000067,0.037387,0.004306,0.000496
0.350000,0.299640,0.065975,0.300072,-0.002709,0.188519,0.000522,0.705858,-0.000156,-0.000151,0.708354,-0.190436,0.004462,1.451557,0.292775,0.065443,0.300000,-0.041119,0.183956,0.000000,0.264942,-0.000007,0.000004,0.000070,26677.628906,26287.777344,26658.277344,26353.019531,0.006865,0.000532,0.000072,0.038410,0.004563,0.000522
