t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,yaw_dot,yaw_ddot,thrust,tx,ty,tz,ox,oy,oz,odx,ody,odz
0.020000,0.000000,0.000000,1.000000,0.000010,0.000004,0.000001,0.001949,0.000754,0.000195,0.286717,0.111082,0.028672,0.000000,0.000002,0.000436,0.264875,-0.000177,0.000456,0.000001,-0.111080,0.286711,0.000024,-10.689694,27.539049,0.034402
0.021000,0.000000,0.000000,1.000000,0.000012,0.000005,0.000001,0.002250,0.000871,0.000225,0.314877,0.122014,0.031488,0.000000,0.000003,0.000504,0.264876,-0.000185,0.000476,0.000001,-0.122012,0.314870,0.000031,-11.159385,28.740728,0.041473
0.022000,0.000000,0.000000,1.000000,0.000014,0.000006,0.000001,0.002579,0.000999,0.000258,0.344234,0.133415,0.034423,0.000000,0.000003,0.000578,0.264877,-0.000193,0.000496,0.000001,-0.133411,0.344225,0.000038,-11.623017,29.926052,0.049547
0.023000,0.000000,0.000000,1.000000,0.000017,0.000007,0.000002,0.002939,0.001138,0.000294,0.374773,0.145277,0.037477,0.000000,0.000004,0.000658,0.264878,-0.000200,0.000515,0.000002,-0.145273,0.374762,0.000047,-12.080604,31.095058,0.058708
0.024000,0.000000,0.000000,1.000000,0.000020,0.000008,0.000002,0.003329,0.001289,0.000333,0.406477,0.157597,0.040648,0.000000,0.000005,0.000746,0.264879,-0.000208,0.000534,0.000002,-0.157591,0.406463,0.000058,-12.532157,32.247776,0.069039
0.025000,0.000000,0.000000,1.000000,0.000024,0.000009,0.000002,0.003752,0.001453,0.000375,0.439332,0.170366,0.043933,0.000000,0.000005,0.000841,0.264880,-0.000215,0.000553,0.000002,-0.170360,0.439315,0.000070,-12.977688,33.384247,0.080627
0.026000,0.000000,0.000000,1.000000,0.000028,0.000011,0.000003,0.004208,0.001630,0.000421,0.473321,0.183581,0.047332,0.000000,0.000006,0.000943,0.264881,-0.000222,0.000572,0.000003,-0.183573,0.473300,0.000085,-13.417206,34.504501,0.093562
0.027000,0.000000,0.000000,1.000000,0.000032,0.000012,0.000003,0.004699,0.001821,0.000470,0.508428,0.197235,0.050843,0.000000,0.000007,0.001053,0.264883,-0.000230,0.000590,0.000003,-0.197226,0.508404,0.000102,-13.850718,35.608578,0.107931
0.028000,0.000000,0.000000,1.000000,0.000037,0.000014,0.000004,0.005225,0.002025,0.000523,0.544640,0.211323,0.054464,0.000000,0.000008,0.001171,0.264884,-0.000237,0.000608,0.000004,-0.211311,0.544611,0.000121,-14.278235,36.696510,0.123827
0.029000,0.000000,0.000000,1.000000,0.000043,0.000017,0.000004,0.005789,0.002243,0.000579,0.581940,0.225838,0.058194,0.000000,0.000010,0.001297,0.264886,-0.000244,0.000626,0.000004,-0.225824,0.581905,0.000143,-14.699769,37.768299,0.141342
0.030000,0.000000,0.000000,1.000000,0.000049,0.000019,0.000005,0.006390,0.002477,0.000639,0.620312,0.240775,0.062031,0.000000,0.000011,0.001432,0.264887,-0.000250,0.000643,0.000005,-0.240759,0.620272,0.000168,-15.115325,38.824009,0.160569
