time_s,cmd,imu_z,height,delta_x,delta_y,squal,vx,vy,motor_m1,motor_m2,motor_m3,motor_m4
1.490254,0.012000,,,,,,,,,,,
1.500814,0.012240,,,,,,,,,,,
1.510189,0.012480,,,,,,,,,,,
1.520375,0.012720,,,,,,,,,,,
1.530168,0.012960,,,,,,,,,,,
1.540158,0.013200,,,,,,,,,,,
1.550132,0.013440,,,,,,,,,,,
1.560240,0.013680,,,,,,,,,,,
1.570258,0.013920,,,,,,,,,,,
1.580156,0.014160,,,,,,,,,,,
1.590165,0.014400,,,,,,,,,,,
1.600112,0.014640,,,,,,,,,,,
1.610278,0.014880,,,,,,,,,,,
1.620162,0.015120,,,,,,,,,,,
1.630132,0.015360,,,,,,,,,,,
1.640126,0.015600,,,,,,,,,,,
1.650175,0.015840,,,,,,,,,,,
1.660153,0.016080,,,,,,,,,,,
1.670130,0.016320,,,,,,,,,,,
1.680104,0.016560,,,,,,,,,,,
1.690135,0.016800,,,,,,,,,,,
1.700137,0.017040,,,,,,,,,,,
1.710100,0.017280,,,,,,,,,,,
1.720130,0.017520,,,,,,,,,,,
1.730196,0.017760,,,,,,,,,,,
1.740124,0.018000,,,,,,,,,,,
1.750144,0.018240,,,,,,,,,,,
1.760128,0.018480,,,,,,,,,,,
1.770175,0.018720,,,,,,,,,,,
1.780170,0.018960,,,,,,,,,,,
1.790112,0.019200,,,,,,,,,,,
1.800112,0.019440,,,,,,,,,,,
1.810086,0.019680,,,,,,,,,,,
1.820123,0.019920,,,,,,,,,,,
1.830126,0.020160,,,,,,,,,,,
1.840074,0.020400,,,,,,,,,,,
1.850122,0.020640,,,,,,,,,,,
1.860119,0.020880,,,,,,,,,,,
1.870122,0.021120,,,,,,,,,,,
1.880191,0.021360,,,,,,,,,,,
1.890113,0.021600,,,,,,,,,,,
1.900113,0.021840,,,,,,,,,,,
1.910086,0.022080,,,,,,,,,,,
1.920145,0.022320,,,,,,,,,,,
1.930125,0.022560,,,,,,,,,,,
1.940137,0.022800,,,,,,,,,,,
1.950285,0.023040,,,,,,,,,,,
1.960347,0.023280,,,,,,,,,,,
1.970159,0.023520,,,,,,,,,,,
1.980300,0.023760,,,,,,,,,,,
1.990146,0.024000,,,,,,,,,,,
2.000139,0.024240,,,,,,,,,,,
2.010142,0.024480,,,,,,,,,,,
2.020099,0.024720,,,,,,,,,,,
2.030143,0.024960,,,,,,,,,,,
2.040142,0.025200,,,,,,,,,,,
2.050143,0.025440,,,,,,,,,,,
2.060292,0.025680,,,,,,,,,,,
