time_s,cmd_fraction,imu_z,height,delta_x,delta_y,squal,vx,vy,motor_m1,motor_m2,motor_m3,motor_m4,motor_m1req,motor_m2req,motor_m3req,motor_m4req,supervisor_info,stab_thrust
0.000072,0.000000,,46.000000,5.0,-4.0,57.0,-0.002894,0.001588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.010140,0.000000,,46.000000,0.0,-2.0,63.0,0.000193,0.000588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.020164,0.000000,,46.000000,-5.0,5.0,108.0,-0.004448,0.005698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.030135,0.000000,,46.000000,0.0,0.0,105.0,-0.003638,0.005208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.040095,0.000000,,46.000000,0.0,3.0,104.0,-0.007444,0.004657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.050097,0.000000,,46.000000,0.0,0.0,79.0,-0.007457,0.005365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.060178,0.000000,,47.000000,6.0,-6.0,61.0,0.000978,-0.001834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.070112,0.000000,,47.000000,-2.0,0.0,93.0,0.001114,0.001450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.080503,0.000000,,47.000000,-4.0,4.0,105.0,-0.004838,0.006346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.090529,0.000000,,47.000000,0.0,2.0,102.0,-0.008644,0.005929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.100127,0.000000,,47.000000,5.0,-5.0,57.0,-0.003360,-0.000676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.110122,0.000000,,45.000000,3.0,-3.0,58.0,0.000532,-0.003946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.120087,0.000000,,45.000000,-7.0,4.0,104.0,-0.003562,0.005390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.130088,0.000000,,45.000000,-1.0,2.0,109.0,-0.005131,0.007049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.140114,0.000000,,45.000000,0.0,1.0,87.0,-0.005531,0.007622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.150101,0.000000,,45.000000,0.0,-2.0,101.0,-0.002072,0.007922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.160117,0.000000,,45.000000,3.0,-2.0,61.0,0.000644,0.004378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.170128,0.000000,,45.000000,0.0,0.0,104.0,0.000410,0.004559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.180110,0.000000,,45.000000,-3.0,1.0,104.0,-0.001450,0.008161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.190112,0.000000,,45.000000,0.0,2.0,100.0,-0.004395,0.007768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
0.200094,0.000000,,45.000000,3.0,-3.0,59.0,-0.000524,0.004187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.00
