time_s,cmd,imu_z,height,delta_x,delta_y,squal,vx,vy,motor_m1,motor_m2,motor_m3,motor_m4
1.490081,0.012000,,,,,,,,,,,
1.500074,0.012240,,,,,,,,,,,
1.510080,0.012480,,,,,,,,,,,
1.520089,0.012720,,,,,,,,,,,
1.530205,0.012960,,,,,,,,,,,
1.540126,0.013200,,,,,,,,,,,
1.550138,0.013440,,,,,,,,,,,
1.560122,0.013680,,,,,,,,,,,
1.570193,0.013920,,,,,,,,,,,
1.580133,0.014160,,,,,,,,,,,
1.590116,0.014400,,,,,,,,,,,
1.600104,0.014640,,,,,,,,,,,
1.610197,0.014880,,,,,,,,,,,
1.620122,0.015120,,,,,,,,,,,
1.630149,0.015360,,,,,,,,,,,
1.640164,0.015600,,,,,,,,,,,
1.650177,0.015840,,,,,,,,,,,
1.660307,0.016080,,,,,,,,,,,
1.670151,0.016320,,,,,,,,,,,
1.680159,0.016560,,,,,,,,,,,
1.690270,0.016800,,,,,,,,,,,
1.700178,0.017040,,,,,,,,,,,
1.710158,0.017280,,,,,,,,,,,
1.720400,0.017520,,,,,,,,,,,
1.730175,0.017760,,,,,,,,,,,
1.740142,0.018000,,,,,,,,,,,
1.750164,0.018240,,,,,,,,,,,
1.760170,0.018480,,,,,,,,,,,
1.770169,0.018720,,,,,,,,,,,
1.780173,0.018960,,,,,,,,,,,
1.790169,0.019200,,,,,,,,,,,
1.800131,0.019440,,,,,,,,,,,
1.810168,0.019680,,,,,,,,,,,
1.820253,0.019920,,,,,,,,,,,
1.830272,0.020160,,,,,,,,,,,
1.840173,0.020400,,,,,,,,,,,
1.850169,0.020640,,,,,,,,,,,
1.860170,0.020880,,,,,,,,,,,
1.870373,0.021120,,,,,,,,,,,
1.880193,0.021360,,,,,,,,,,,
1.890159,0.021600,,,,,,,,,,,
1.900326,0.021840,,,,,,,,,,,
1.910159,0.022080,,,,,,,,,,,
1.920158,0.022320,,,,,,,,,,,
1.930143,0.022560,,,,,,,,,,,
1.940141,0.022800,,,,,,,,,,,
1.950108,0.023040,,,,,,,,,,,
1.960157,0.023280,,,,,,,,,,,
1.970146,0.023520,,,,,,,,,,,
1.980101,0.023760,,,,,,,,,,,
1.990098,0.024000,,,,,,,,,,,
2.000085,0.024240,,,,,,,,,,,
2.010092,0.024480,,,,,,,,,,,
2.020140,0.024720,,,,,,,,,,,
2.030266,0.024960,,,,,,,,,,,
2.040178,0.025200,,,,,,,,,,,
2.050483,0.025440,,,,,,,,,,,
2.060467,0.025680,,,,,,,,,,,
2.070154,0.025920,,,,,,,,,,,
2.080100,0.026160,,,,,,,,,,,
2.090105,0.026400,,,,,,,,,,,
2.100420,0.026640,,,,,,,,,,,
2.110120,0.026880,,,,,,,,,,,
2.120120,0.027120,,,,,,,,,,,
2.130164,0.027360,,,,,,,,,,,
2.140152,0.027600,,,,,,,,,,,
2.150097,0.027840,,,,,,,,,,,
2.160125,0.028080,,,,,,,,,,,
2.170131,0.028320,,,,,,,,,,,
2.180138,0.028560,,,,,,,,,,,
2.190169,0.028800,,,,,,,,,,,
2.200131,0.029040,,,,,,,,,,,
2.210125,0.029280,,,,,,,,,,,
2.220158,0.029520,,,,,,,,,,,
2.230170,0.029760,,,,,,,,,,,
2.240123,0.030000,,,,,,,,,,,
2.250185,0.030240,,,,,,,,,,,
2.260142,0.030480,,,,,,,,,,,
2.270159,0.030720,,,,,,,,,,,
2.280156,0.030960,,,,,,,,,,,
2.290176,0.031200,,,,,,,,,,,
2.300284,0.031440,,,,,,,,,,,
2.310157,0.031680,,,,,,,,,,,
2.320129,0.031920,,,,,,,,,,,
2.330123,0.032160,,,,,,,,,,,
2.340097,0.032400,,,,,,,,,,,
2.350127,0.032640,,,,,,,,,,,
2.360126,0.032880,,,,,,,,,,,
2.370124,0.033120,,,,,,,,,,,
2.380116,0.033360,,,,,,,,,,,
2.390112,0.033600,,,,,,,,,,,
2.400137,0.033840,,,,,,,,,,,
2.410129,0.034080,,,,,,,,,,,
2.420111,0.034320,,,,,,,,,,,
2.430152,0.034560,,,,,,,,,,,
2.440230,0.034800,,,,,,,,,,,
2.450164,0.035040,,,,,,,,,,,
2.460130,0.035280,,,,,,,,,,,
2.470148,0.035520,,,,,,,,,,,
2.480124,0.035760,,,,,,,,,,,
2.490123,0.036000,,,,,,,,,,,
2.500091,0.036240,,,,,,,,,,,
2.510132,0.036480,,,,,,,,,,,
2.520191,0.036720,,,,,,,,,,,
2.530108,0.036960,,,,,,,,,,,
2.540109,0.037200,,,,,,,,,,,
