fc_hz,rms_raw_roll_x,rms_raw_pitch_y,rms_raw_yaw_z,rms_filt_roll_x,rms_filt_pitch_y,rms_filt_yaw_z,noise_reduction_db_roll_x,noise_reduction_db_pitch_y,noise_reduction_db_yaw_z,rms_ratio_roll_x,rms_ratio_pitch_y,rms_ratio_yaw_z
10,9.1797,9.7488,5.7228,4.7892,4.6788,1.5021,-5.65,-6.38,-11.62,0.5217,0.4799,0.2625
15,9.1797,9.7488,5.7228,5.4929,5.4758,1.8017,-4.46,-5.01,-10.04,0.5984,0.5617,0.3148
20,9.1797,9.7488,5.7228,6.0982,6.1534,2.0627,-3.55,-4.0,-8.86,0.6643,0.6312,0.3604
25,9.1797,9.7488,5.7228,6.6645,6.7659,2.3231,-2.78,-3.17,-7.83,0.726,0.694,0.4059
30,9.1797,9.7488,5.7228,7.2016,7.3519,2.6516,-2.11,-2.45,-6.68,0.7845,0.7541,0.4633
35,9.1797,9.7488,5.7228,7.7185,7.9399,3.1723,-1.51,-1.78,-5.12,0.8408,0.8144,0.5543
40,9.1797,9.7488,5.7228,8.2343,8.5306,4.0635,-0.94,-1.16,-2.97,0.897,0.875,0.7101
45,9.1797,9.7488,5.7228,8.7296,9.1418,5.1739,-0.44,-0.56,-0.88,0.951,0.9377,0.9041
