time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust
0.007,-0.019676510244607925,0.05715952068567276,0.8816614747047424,-0.03455575555562973,0.045235030353069305,0.011213996447622776,-0.24677430093288422,-0.7928391098976135,0.278152734041214,0.00044714988325722516
0.054,-0.020972546190023422,0.05993384122848511,0.8811471462249756,-0.026521805673837662,0.059751566499471664,-0.005923460703343153,0.7790544629096985,-0.9529107213020325,1.585128664970398,8.573319064453244e-05
0.107,-0.015634294599294662,0.053437139838933945,0.8806941509246826,-0.019012324512004852,0.0584830716252327,-0.0032264250330626965,2.040079116821289,-0.45483967661857605,8.957873344421387,0.0006605274393223226
0.155,-0.02803676575422287,-0.017839208245277405,0.883477509021759,-0.004164853133261204,0.03768882155418396,0.004548843018710613,1.5388779640197754,-0.5250374674797058,20.253854751586914,0.0010877464665099978
0.203,-0.012558710761368275,-0.027332257479429245,0.8850439190864563,-0.010085515677928925,-0.05800919234752655,0.015916883945465088,-2.0187482833862305,-4.4537858963012695,30.906217575073242,0.00047798125888220966
0.253,0.001172186341136694,-0.02989663928747177,0.8876784443855286,0.020718365907669067,-0.05977515131235123,0.007411547005176544,-3.997121572494507,-7.336390972137451,40.29634094238281,-0.0007828263333067298
0.302,-0.0029147816821932793,-0.04651740565896034,0.8888223767280579,0.058654796332120895,-0.009297816082835197,0.014292445033788681,-4.390785217285156,-6.251023769378662,48.62471008300781,0.0008104022708721459
0.352,0.010179640725255013,-0.03999839723110199,0.8886404633522034,0.06829012185335159,0.04037211090326309,0.015496852807700634,-6.207586288452148,-5.64383602142334,55.18362045288086,0.0018159430474042892
0.402,0.018306467682123184,-0.02507895790040493,0.8895013928413391,0.07502242177724838,0.10902286320924759,0.009576836600899696,-7.616476058959961,-6.5036540031433105,60.124759674072266,-3.291037864983082e-05
0.455,0.020200364291667938,-0.017272893339395523,0.8937948346138,0.056503746658563614,0.19357021152973175,0.01205041166394949,-6.115301609039307,-4.317684650421143,64.05606842041016,-0.00011332663416396827
0.505,0.02885781228542328,0.022531108930706978,0.8934366703033447,0.02378951758146286,0.2634141147136688,0.029935967177152634,-3.8055930137634277,-0.13008160889148712,66.94570922851562,0.0018013777444139123
0.552,0.02724045142531395,0.03825943171977997,0.8856998682022095,0.002696448238566518,0.33051154017448425,0.0133655471727252,-2.94559645652771,1.865052580833435,68.56556701660156,0.0010213135974481702
