fc_hz,rms_raw_roll_x,rms_raw_pitch_y,rms_raw_yaw_z,rms_filt_roll_x,rms_filt_pitch_y,rms_filt_yaw_z,noise_reduction_db_roll_x,noise_reduction_db_pitch_y,noise_reduction_db_yaw_z,rms_ratio_roll_x,rms_ratio_pitch_y,rms_ratio_yaw_z
10,4.7006,5.125,2.3633,2.1453,2.2801,0.8751,-6.81,-7.03,-8.63,0.4564,0.4449,0.3703
15,4.7006,5.125,2.3633,2.5191,2.6658,1.0735,-5.42,-5.68,-6.85,0.5359,0.5202,0.4542
20,4.7006,5.125,2.3633,2.7945,2.9786,1.2919,-4.52,-4.71,-5.25,0.5945,0.5812,0.5466
25,4.7006,5.125,2.3633,3.0771,3.2837,1.5289,-3.68,-3.87,-3.78,0.6546,0.6407,0.6469
30,4.7006,5.125,2.3633,3.3713,3.5939,1.7417,-2.89,-3.08,-2.65,0.7172,0.7012,0.7369
35,4.7006,5.125,2.3633,3.6761,3.9214,1.9154,-2.14,-2.32,-1.83,0.7821,0.7652,0.8104
40,4.7006,5.125,2.3633,3.9938,4.2855,2.064,-1.42,-1.55,-1.18,0.8496,0.8362,0.8734
45,4.7006,5.125,2.3633,4.3405,4.6884,2.2085,-0.69,-0.77,-0.59,0.9234,0.9148,0.9345
