fc_hz,rms_raw_roll_x,rms_raw_pitch_y,rms_raw_yaw_z,rms_filt_roll_x,rms_filt_pitch_y,rms_filt_yaw_z,noise_reduction_db_roll_x,noise_reduction_db_pitch_y,noise_reduction_db_yaw_z,rms_ratio_roll_x,rms_ratio_pitch_y,rms_ratio_yaw_z
10,nan,nan,nan,nan,nan,nan,-inf,-inf,-inf,nan,nan,nan
15,nan,nan,nan,nan,nan,nan,-inf,-inf,-inf,nan,nan,nan
20,nan,nan,nan,nan,nan,nan,-inf,-inf,-inf,nan,nan,nan
25,nan,nan,nan,nan,nan,nan,-inf,-inf,-inf,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,-inf,-inf,-inf,nan,nan,nan
35,nan,nan,nan,nan,nan,nan,-inf,-inf,-inf,nan,nan,nan
40,nan,nan,nan,nan,nan,nan,-inf,-inf,-inf,nan,nan,nan
45,nan,nan,nan,nan,nan,nan,-inf,-inf,-inf,nan,nan,nan
