fc_hz,rms_raw_roll_x,rms_raw_pitch_y,rms_raw_yaw_z,rms_filt_roll_x,rms_filt_pitch_y,rms_filt_yaw_z,noise_reduction_db_roll_x,noise_reduction_db_pitch_y,noise_reduction_db_yaw_z,rms_ratio_roll_x,rms_ratio_pitch_y,rms_ratio_yaw_z
10.0,11.1053,15.0838,2.0839,10.6775,14.5235,1.0122,-0.34,-0.33,-6.27,0.9615,0.9629,0.4857
20.0,11.1053,15.0838,2.0839,10.8375,14.7146,1.4812,-0.21,-0.22,-2.97,0.9759,0.9755,0.7108
30.0,11.1053,15.0838,2.0839,10.9277,14.8245,1.7352,-0.14,-0.15,-1.59,0.984,0.9828,0.8326
