fc_hz,rms_raw_roll_x,rms_raw_pitch_y,rms_raw_yaw_z,rms_filt_roll_x,rms_filt_pitch_y,rms_filt_yaw_z,noise_reduction_db_roll_x,noise_reduction_db_pitch_y,noise_reduction_db_yaw_z,rms_ratio_roll_x,rms_ratio_pitch_y,rms_ratio_yaw_z
10.0,10.4828,15.1551,3.1101,9.8582,14.477,1.2986,-0.53,-0.4,-7.59,0.9404,0.9553,0.4176
20.0,10.4828,15.1551,3.1101,10.061,14.6913,2.0427,-0.36,-0.27,-3.65,0.9598,0.9694,0.6568
30.0,10.4828,15.1551,3.1101,10.1741,14.8187,2.5348,-0.26,-0.19,-1.78,0.9706,0.9778,0.815
