cf5_A8_13-14-36.a_hat_x,cf5_A8_13-14-36.a_hat_y,cf5_A8_13-14-36.a_hat_z,cf5_A8_13-14-36.a_res_x,cf5_A8_13-14-36.a_res_y,cf5_A8_13-14-36.a_res_z,cf5_A8_13-14-36.e_r_x,cf5_A8_13-14-36.e_r_y,cf5_A8_13-14-36.e_r_z,cf5_A8_13-14-36.pos_des_x,cf5_A8_13-14-36.pos_des_y,cf5_A8_13-14-36.pos_des_z,cf5_A8_13-14-36.pos_x,cf5_A8_13-14-36.pos_y,cf5_A8_13-14-36.pos_z,cf5_A8_13-14-36.t,cf_second_A8_13-14-36.a_hat_x,cf_second_A8_13-14-36.a_hat_y,cf_second_A8_13-14-36.a_hat_z,cf_second_A8_13-14-36.a_res_x,cf_second_A8_13-14-36.a_res_y,cf_second_A8_13-14-36.a_res_z,cf_second_A8_13-14-36.e_r_x,cf_second_A8_13-14-36.e_r_y,cf_second_A8_13-14-36.e_r_z,cf_second_A8_13-14-36.pos_des_x,cf_second_A8_13-14-36.pos_des_y,cf_second_A8_13-14-36.pos_des_z,cf_second_A8_13-14-36.pos_x,cf_second_A8_13-14-36.pos_y,cf_second_A8_13-14-36.pos_z,cf_second_A8_13-14-36.t
0.000000,0.000000,0.000000,-0.059838,-0.068177,0.009587,0.011700,-0.020348,-0.018435,0.000000,-0.200001,1.000000,-0.011796,-0.199097,0.977010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002888,-0.008510,-0.002400,0.000000,0.799992,1.250000,-0.014833,0.817917,1.120961,0.000000
0.000000,0.000000,0.000000,-0.058607,-0.067435,0.036215,0.011440,-0.020036,-0.018434,0.000000,-0.200001,1.000000,-0.011712,-0.199139,0.977014,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002888,-0.008510,-0.002400,0.000000,0.799992,1.250000,-0.014723,0.817670,1.120929,0.002000
0.000000,0.000000,0.000000,-0.055690,-0.064197,0.058954,0.010122,-0.019764,-0.018448,0.000000,-0.200001,1.000000,-0.011646,-0.198999,0.977017,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002888,-0.008510,-0.002400,0.000000,0.799992,1.250000,-0.014789,0.817710,1.120945,0.004000
0.000000,0.000000,0.000000,-0.051243,-0.057600,0.077992,0.008469,-0.020296,-0.018478,0.000000,-0.200001,1.000000,-0.011791,-0.198589,0.977010,0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002888,-0.008510,-0.002400,0.000000,0.799992,1.250000,-0.014836,0.817775,1.120958,0.006000
0.000000,0.000000,0.000000,-0.046455,-0.047875,0.065594,0.008306,-0.020277,-0.018481,0.000000,-0.200001,1.000000,-0.011791,-0.198589,0.977010,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002888,-0.008510,-0.002400,0.000000,0.799992,1.250000,-0.014836,0.817775,1.120958,0.008000
0.000000,0.000000,0.000000,-0.041726,-0.038689,0.051377,0.008040,-0.020300,-0.018486,0.000000,-0.200001,1.000000,-0.011791,-0.198589,0.977010,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002888,-0.008510,-0.002400,0.000000,0.799992,1.250000,-0.014836,0.817775,1.120958,0.010000
0.000000,0.000000,0.000000,-0.037719,-0.034304,0.042155,0.007776,-0.020337,-0.018490,0.000000,-0.200001,1.000000,-0.011791,-0.198589,0.977010,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002888,-0.008510,-0.002400,0.000000,0.799992,1.250000,-0.014713,0.817492,1.120919,0.012000
0.000000,0.000000,0.000000,-0.035399,-0.038899,0.025666,0.006471,-0.020476,-0.018497,0.000000,-0.200001,1.000000,-0.011785,-0.198482,0.977011,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002888,-0.008510,-0.002400,0.000000,0.799992,1.250000,-0.014672,0.817399,1.120906,0.014000
0.000000,0.000000,0.000000,-0.035869,-0.051506,0.002025,0.004815,-0.020640,-0.018504,0.000000,-0.200001,1.000000,-0.011777,-0.198339,0.977013,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002888,-0.008510,-0.002400,0.000000,0.799992,1.250000,-0.014807,0.817646,1.120945,0.016000
0.000000,0.000000,0.000000,-0.038590,-0.068220,-0.011115,0.004617,-0.020655,-0.018508,0.000000,-0.200001,1.000000,-0.011777,-0.198339,0.977013,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002888,-0.008510,-0.002400,0.000000,0.799992,1.250000,-0.014840,0.817707,1.120955,0.018000
